Day,Vista Banrep,FPCOFIXMK3M,FPCOFMKLN1Y,FPCOFMKLN2Y,FPCOFXMK1M,FPCOFXMK2M,FPCOFXMK3M1,FPCOFXMK3M2,FPCOFXMK3M3,FPCOVMKLN1Y,FPCOVMKLN2Y,FPCOBFIX10Y,FPCOCPFIX2Y,FPCOCPFIX5Y,FPCODTFB12M,FPCODTFB18M,FPCODTFB24M,FPCOIBR18M,FPCOIBRB12M,FPCOIBRB18M,FPCOIBRB24+,FPCOIBRB24M,FPCOIBRC12M,FPCOIBRR12M,FPCOIBRR18M,FPCOIPCB10+,FPCOIPCB10Y,FPCOIPCB2Y,FPCOIPCB5Y,FPCOIPCC10+,FPCOIPCC10Y,FPCOIPCC2Y,FPCOIPCC5Y,FPCOIPCR10+,FPCOIPCR10Y,FPCOIPCR2Y,FPCOIPCR5Y,COLTES CP,COLTES LP,COLTES,COLTES UVR,COLTES UVRCP,TRM,FPCOGVFX10Y,FPCOGVFIX2Y,FPCOGVFIX5Y,FPCOGVUVRLN,FPCOGFX10Y+,ICOLCAP,ACWI_COP,LEGATRUU_COP,INMOBILIARIO_COL,LEGATRUU_USD,SPX Index_COP,MXEF Index_COP,MXEA Index_COP
20131231,"135,1443683",100,"99,99568992","100,0254448","92,14493728",100,"92,13632964","92,43096781","92,38734303",100,"100,0311747","100,0320758","100,0234694","100,0327267","100,0361363","100,073617","100,0911201","100,0420505","100,0465035","100,0338064","100,0451814","100,0857371","100,0442278","100,0337372","100,1054561","100,234933","100,0234969","100,026112","99,95461523","100,2315063","100,0239261","100,0258893","99,97095967","100,2300587","100,0275715","100,0233727","99,96832731","177,53","200,67","187,24","176,94","66,99442828","1943,73","99,69692103","99,99481979","99,88699185","100,0303614","99,56720635",16100,"3228671,591","882202,6788","15764,54259","453,871","3592712,783","1948958,634","3723409,19"
20140101,"135,1562109",100,"100,0081516","100,0388689","92,15358696",100,"92,13632964","92,43096781","92,38734303",100,"100,0462683","100,0527655","100,0396639","100,0523533","100,0495154","100,0887246","100,1060424","100,0577562","100,0614053","100,0495255","100,0605497","100,1010611","100,0590707","100,0483611","100,1210659","100,2533833","100,0413414","100,0413587","99,97236054","100,2497977","100,0417776","100,0411526","99,98855569","100,2482447","100,0453861","100,0387648","99,98556586","177,53","200,67","187,24","176,94","66,99267639","1943,73","99,71719401","100,0081525","99,90528377","100,0398987","99,58726961",16100,"3228710,466","882202,6788","15764,54259","453,871","3592712,783","1948900,322","3723564,69"
20140102,"135,1680544",100,"100,0204145","100,0494892","92,16223738",100,"92,14493728","92,51207348","92,46896687",100,"100,0565485","100,4596914","100,0472781","100,0772446","100,0624809","100,1093857","100,1322435","100,0705248","100,0732996","100,0620093","100,0639337","100,1047975","100,0711822","100,0611915","100,1366425","100,3518158","100,090155","100,0605859","99,9838835","100,3278224","100,0938974","100,0603255","100,005921","100,31884","100,1060617","100,0576493","100,0155892","177,46","200,55","187,15","176,9","66,97303538",1942,"99,57797068","99,98933924","99,81765821","99,90788814","99,60646408",16100,"3195017,24","879349,0578","15766,04801","452,8059","3557705,16","1924114,18","3679585,08"
20140103,"135,179899",100,"100,0301042","100,053099","92,1708886",100,"92,15358696","92,48392997","92,44064356",100,"100,0640295","100,3799575","100,0515662","100,0088299","100,0754129","100,1185166","100,1429179","100,0800866","100,0827082","100,0714611","100,0770184","100,1145557","100,0803783","100,0692455","100,1472827","100,3987301","100,0949847","100,0683178","99,99036491","100,3734712","100,1010855","100,0679832","100,0171382","100,364401","100,118062","100,0648904","100,0389562","177,54","200,89","187,34","176,88","66,99174171","1937,5","99,85924743","100,007949","99,83297319","99,87951042","99,73376884",16100,"3189221,875","877459,65","15767,5569","452,8824","3548279,375","1897761,875","3678537,50"
20140104,"135,1917446",100,"100,0425603","100,066542","92,17954055",100,"92,16223738","92,48392997","92,44064356",100,"100,0791166","100,4004554","100,06782","100,0284633","100,0887717","100,1336192","100,1578247","100,0957765","100,0975901","100,0871653","100,092366","100,1298708","100,0951999","100,0838496","100,1628678","100,4171747","100,1128316","100,0835481","100,0081251","100,3917579","100,1189379","100,0832308","100,0347403","100,3825823","100,1358743","100,0802704","100,0561808","177,54","200,89","187,34","176,88","66,99000165","1937,5","99,87933284","100,0212571","99,85112693","99,88910032","99,75385446",16100,"3189221,875","877459,65","15769,05927","452,8824","3548279,375","1897761,875","3678537,50"
20140105,"135,2035913",100,"100,0549905","100,0799629","92,18816294",100,"92,1708886","92,48392997","92,44064356",100,"100,0941985","100,4209547","100,0840599","100,0480972","100,1021212","100,1487227","100,1727345","100,1114672","100,1124637","100,1028704","100,1077174","100,1451893","100,110013","100,0984458","100,178454","100,435621","100,1306801","100,0987713","100,0258851","100,4100464","100,136792","100,0984712","100,0523424","100,4007654","100,1536882","100,0956438","100,0734054","177,54","200,89","187,34","176,88","66,98824975","1937,5","99,89941964","100,0345567","99,86927976","99,89868882","99,77394193",16100,"3189221,875","877459,65","15770,56802","452,8824","3548279,375","1897761,875","3678537,50"
20140106,"135,215439",100,"100,0673948","100,093361","92,19676405",100,"92,17954055","92,48392997","92,44064356",100,"100,109275","100,4414555","100,1002856","100,0677317","100,1154603","100,163827","100,1876472","100,1271586","100,1273289","100,1185761","100,1230725","100,160511","100,1248174","100,1130343","100,1940414","100,4540691","100,1485302","100,1139871","100,0436448","100,4283366","100,1546477","100,1137045","100,0699442","100,4189501","100,1715036","100,1110107","100,09063","177,54","200,89","187,34","176,88","66,98649786","1937,5","99,91950783","100,047848","99,8874317","99,90827591","99,79403126",16000,"3179747,5","878972,6438","15772,07025","453,6633","3539366,875","1884063,75","3668055,63"
20140107,"135,2272877",100,"100,0819108","100,105325","92,20539069",100,"92,18816294","92,51736118","92,47428836",100,"100,1302297","100,3320603","100,1092797","99,94617463","100,1255646","100,1831971","100,2032231","100,1583849","100,1546437","100,1497592","100,1379255","100,179295","100,1513332","100,1365532","100,2268912","102,487645","101,4319927","100,3073772","100,5658366","102,6752601","101,467447","100,3186052","100,6144875","102,8158209","101,5412871","100,3846021","100,6834985","177,75","200,98","187,5","177,62","67,03846063","1937,5","99,73476864","100,0646158","100,002955","100,3723571","99,88424514",16000,"3192321,875","879063,125","15773,57241","453,71","3560892,5","1882242,5","3671833,75"
20140108,"135,2391375",100,"100,0997491","100,1929897","92,21405395",100,"92,19676405","92,52735325","92,48434427",100,"100,1688158","100,3944642","100,2590087","99,99345636","100,1418931","100,2079337","100,1830889","100,1930668","100,1863273","100,1842015","100,1894222","100,2118863","100,1816683","100,1606113","100,2634595","102,3520912","101,2303127","100,2960023","100,5048293","102,1937199","101,2699941","100,3071132","100,5354792","102,1032301","101,364489","100,3717917","100,5654808","177,95","201,12","187,67","177,88","67,08785429","1934,5","99,84794206","100,1336913","100,1172317","100,5114201","99,8330465",15643,"3192253,865","876177,4156","15775,07567","452,9219","3554624,405","1882597,365","3681469,57"
20140109,"135,2509883",100,"100,1124945","100,2061647","92,22271793",100,"92,20539069","92,52918743","92,48619016",100,"100,1748626","100,4772451","100,2793197","100,1316614","100,1659607","100,2048092","100,2160435","100,2072057","100,1963503","100,1978162","100,2108603","100,2338567","100,1921201","100,1730393","100,281329","102,6582069","101,1276155","100,2520546","100,3707679","102,5058798","101,2441852","100,2631156","100,3997172","102,4373581","101,5216331","100,3265888","100,4216966","177,99","201,21","187,73","177,7","67,09634334","1932,5","100,0644594","100,185256","100,1212174","100,3589519","99,72169373",15600,"3181610,025","875175,7198","15775,2192","452,8723","3552186,225","1861210,075","3657623,43"
