ISIN;Nemotécnico;Fecha_Emisión;Plazo_años;Fecha_de_vencimiento;Indexación;Tasa_Cupón;Período_Pago_Intereses;Amortización;Base;Moneda;Emisor
COE01CB00055;BGEB1209C7;6/25/2020;7,0;6/25/2027;IPC;3,24%;Trimestral vencida;Al vencimiento;365;COP;Grupo de Energía de Bogotá
COE01CB00071;BGEB1209C1;6/25/2020;15,0;6/25/2035;IPC;3,87%;Trimestral vencida;Al vencimiento;365;COP;Grupo de Energía de Bogotá
COE01CB00071;BGEB1209C1;6/25/2020;15,0;6/25/2035;IPC;3,87%;Trimestral vencida;Al vencimiento;365;COP;Grupo de Energía de Bogotá
COE01CB00014;BEEB1179A7;2/28/2017;7,0;2/28/2024;IPC;3,19%;Trimestral vencida;Al vencimiento;365;COP;Grupo de Energía de Bogotá
COE01CB00022;BEEB1179A1;2/28/2017;15,0;2/28/2032;IPC;3,85%;Trimestral vencida;Al vencimiento;365;COP;Grupo de Energía de Bogotá
CO501CB00030;BEEB1179A025;2/28/2017;25,0;2/28/2042;IPC;4,04%;Trimestral vencida;Al vencimiento;365;COP;Grupo de Energía de Bogotá
COE01CB00048;BEEB1179A030;2/28/2017;30,0;2/28/2047;IPC;4,10%;Trimestral vencida;Al vencimiento;365;COP;Grupo de Energía de Bogotá
COJ05CD0CAN9;CDTTYAS0V;6/02/2023;0,4;11/02/2023;FS;13,32%;Períodica Vencida;Al vencimiento;360;COP;Tuya
COB02CD0U1N0;CDTBPOS0V;4/11/2023;2,0;4/11/2025;FS;13,00%;Trimestral vencida;Al vencimiento;360;COP;Banco Popular
COB23CD00GV3;CDTBOCS0V;2/07/2023;1,0;2/07/2024;FS;16,36;Trimestral vencida;Al vencimiento;360;COP;Banco de Occidente
COB07CD0JXF8;CDTBCBS0V;6/14/2023;2,0;6/14/2025;FS;13,45;Trimestral vencida;Al vencimiento;360;COP;Bancolombia
COL06CB00026;BSFDT1199A07;6/18/2019;7,0;6/18/2026;IPC;2,9;Trimestral vencida;Al vencimiento;360;COP;Findeter
COB61CD3F9Z9;CDTBOOS0VD;2/10/2023;0,5;8/10/2023;FS;13,63;Períodica Vencida;Al vencimiento;360;COP;Bancoomeva
COJ26CD49609;CDTGMAS5V;10/04/2022;2,0;10/04/2024;FS;13,32%;Trimestral vencida;Al vencimiento;365;COP;GM financials
COB13CD1CJW7;CDTBGAS0V;2/15/2022;3,0;2/15/2025;FS;9,03%;Trimestral vencida;Al vencimiento;360;COP;BBVA Colombia
COB74CB00074;BSFN120SA005;2/19/2020;5,0;2/19/2025;FS;6,24%;Trimestra vencida;Al vencimiento;365;COP;Serfinanza
COE21CB00285;BCOS120SE004;8/25/2020;4,0;8/25/2024;FS;4,70%;Trimestral vencida;Al vencimiento;365;COP;Enel
COB07CD0HM91;CDTBCB90;10/25/2022;15,0;10/25/2037;IPC;7,90%;Trimestral vencida;Al vencimiento;360;COP;Bancolombia
COL17CT03862;TFIT11090233;9/02/2022;11,0;9/02/2033;FS;13,25%;Anual Vencida;Al vencimiento;365;COP;TES
COL17CT03813;TFIT21280542;5/28/2021;21,0;5/28/2042;FS;9,25%;Nominal;Al vencimiento;365;COP;TES
COL17CT03771;TFIT10260331;3/26/2021;10,0;3/26/2031;FS;7,00%;Nominal;Al vencimiento;365;COP;TES
COL17CT03342;TFIT16180930;9/18/2014;16,0;9/18/2030;FS;7,75%;Anual Vencida;Al vencimiento;365;COP;TES
COL17CT03557;TFIT08261125;11/26/2017;8,0;11/26/2025;FS;6,25%;Anual Vencida;Al vencimiento;365;COP;TES
COL17CT02914;TFIT16280428;28/04/2012;16,0;28/04/2028;FS;6,00%;Nominal;Al vencimiento;365;COP;TES
COL17CT03672;TFIT08031127;3/11/2019;8,0;3/11/2027;FS;5,75%;Anual Vencida;Al vencimiento;365;COP;TES
COL17CT02625;TFIT15260826;8/26/2011;15,0;8/26/2026;FS;7,50%;Nominal;Al vencimiento;365;COP;TES
COL17CT02625;TFIT15260826;8/26/2011;15,0;8/26/2026;FS;7,50%;Anual Vencida;Al vencimiento;365;COP;TES
COL17CT02385;TFIT16240724;7/24/2008;16,0;7/24/2024;FS;10,00%;Nominal;Al vencimiento;365;COP;TES
COL17CT03722;TFIT31261050;10/26/2019;31,0;10/26/2050;FS;7,25%;Nominal;Al vencimiento;365;COP;TES
COL17CT03490;TFIT16300632;6/30/2016;16,0;6/30/2032;FS;7,00%;Nominal;Al vencimiento;365;COP;TES
COL17CT03615;TFIT16181034;10/18/2018;16,0;10/18/2034;FS;7,25%;Nominal;Al vencimiento;365;COP;TES
